
λ=(1.5, 0.95, 0.05, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.30656, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.24629, R̄=0.786, 2.1s
  .. 1800/12000 frames, avg util=0.21104, R̄=0.784, 3.1s
  .. 2400/12000 frames, avg util=0.24457, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25058, R̄=0.781, 5.2s
  .. 3600/12000 frames, avg util=0.26431, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.27731, R̄=0.783, 7.2s
  .. 4800/12000 frames, avg util=0.28436, R̄=0.784, 8.3s
  .. 5400/12000 frames, avg util=0.27121, R̄=0.784, 9.3s
  .. 6000/12000 frames, avg util=0.28375, R̄=0.785, 10.4s
  .. 6600/12000 frames, avg util=0.28389, R̄=0.785, 11.4s
  .. 7200/12000 frames, avg util=0.26538, R̄=0.785, 12.4s
  .. 7800/12000 frames, avg util=0.26524, R̄=0.785, 13.5s
  .. 8400/12000 frames, avg util=0.27679, R̄=0.782, 14.5s
  .. 9000/12000 frames, avg util=0.27785, R̄=0.781, 15.5s
  .. 9600/12000 frames, avg util=0.27870, R̄=0.781, 16.6s
  .. 10200/12000 frames, avg util=0.27614, R̄=0.780, 17.6s
  .. 10800/12000 frames, avg util=0.27301, R̄=0.780, 18.6s
  .. 11400/12000 frames, avg util=0.27590, R̄=0.780, 19.6s
  .. 12000/12000 frames, avg util=0.27622, R̄=0.780, 20.6s
λ=(1.5, 0.95, 0.05, 0.01): util=0.27622  R̄=0.780
λ=(1.5, 0.95, 0.05, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.30631, R̄=0.785, 1.0s
  .. 1200/12000 frames, avg util=0.24602, R̄=0.786, 2.0s
  .. 1800/12000 frames, avg util=0.21084, R̄=0.784, 3.1s
  .. 2400/12000 frames, avg util=0.24437, R̄=0.781, 4.1s
  .. 3000/12000 frames, avg util=0.25038, R̄=0.781, 5.2s
  .. 3600/12000 frames, avg util=0.26411, R̄=0.783, 6.2s
  .. 4200/12000 frames, avg util=0.27711, R̄=0.783, 7.3s
  .. 4800/12000 frames, avg util=0.28416, R̄=0.784, 8.3s
  .. 5400/12000 frames, avg util=0.27102, R̄=0.784, 9.3s
  .. 6000/12000 frames, avg util=0.28357, R̄=0.785, 10.4s
  .. 6600/12000 frames, avg util=0.28370, R̄=0.785, 11.4s
  .. 7200/12000 frames, avg util=0.26519, R̄=0.785, 12.4s
  .. 7800/12000 frames, avg util=0.26505, R̄=0.785, 13.5s
  .. 8400/12000 frames, avg util=0.27660, R̄=0.782, 14.5s
  .. 9000/12000 frames, avg util=0.27765, R̄=0.781, 15.5s
  .. 9600/12000 frames, avg util=0.27850, R̄=0.781, 16.6s
  .. 10200/12000 frames, avg util=0.27595, R̄=0.780, 17.6s
  .. 10800/12000 frames, avg util=0.27281, R̄=0.780, 18.7s
  .. 11400/12000 frames, avg util=0.27571, R̄=0.780, 19.7s
  .. 12000/12000 frames, avg util=0.27602, R̄=0.780, 20.7s
λ=(1.5, 0.95, 0.05, 0.02): util=0.27602  R̄=0.780
λ=(1.5, 1.0, 0.03, 0.01) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31583, R̄=0.786, 1.0s
  .. 1200/12000 frames, avg util=0.25585, R̄=0.787, 2.1s
  .. 1800/12000 frames, avg util=0.22037, R̄=0.786, 3.1s
